Wavelength,Intensity,Wavelength,Intensity,Wavelength,Intensity
778.84954,0.00831,780.69282,0.0165,778.84954,-0.00606
778.88977,0.00827,780.70139,0.01709,778.88977,0.00403
778.93,0.00864,780.70996,0.0176,778.93,0.00169
778.97023,0.00884,780.71852,0.01846,778.97023,-0.00572
779.01046,0.00914,780.72709,0.01882,779.01046,-0.00699
779.05068,0.00958,780.73565,0.01964,779.05068,0.00676
779.09091,0.00963,780.74422,0.02017,779.09091,0.00167
779.13114,0.00925,780.75278,0.02098,779.13114,0.01172
779.17136,0.00901,780.76135,0.02114,779.17136,0.0358
779.21159,0.00905,780.76991,0.02276,779.21159,0.02385
779.25182,0.00903,780.77848,0.02321,779.25182,0.00507
779.29204,0.00923,780.78704,0.02505,779.29204,0.00267
779.33227,0.00934,780.7956,0.02667,779.33227,0.01095
779.37249,0.00939,780.80417,0.0277,779.37249,-0.00354
779.41272,0.00974,780.81273,0.02866,779.41272,-0.01038
779.45294,0.0098,780.82129,0.02823,779.45294,0.01439
779.49316,0.01006,780.82985,0.03054,779.49316,0.01772
779.53339,0.01074,780.83841,0.03191,779.53339,0.02435
779.57361,0.01126,780.84698,0.03335,779.57361,0.02113
779.61383,0.01189,780.85554,0.03375,779.61383,0.01104
779.65405,0.0123,780.8641,0.03518,779.65405,0.01969
779.69428,0.01226,780.87266,0.03898,779.69428,0.03696
779.7345,0.01185,780.88122,0.04104,779.7345,0.02971
779.77472,0.01135,780.88978,0.04365,779.77472,0.00972
779.81494,0.01121,780.89834,0.04525,779.81494,0.0239
779.85516,0.01133,780.9069,0.04847,779.85516,-0.00502
779.89538,0.01143,780.91546,0.05149,779.89538,0.01884
779.9356,0.01166,780.92402,0.05595,779.9356,0.02534
779.97582,0.01213,780.93257,0.05986,779.97582,0.0267
780.01603,0.01262,780.94113,0.06502,780.01603,0.01909
780.05625,0.01321,780.94969,0.07178,780.05625,0.01809
780.09647,0.01417,780.95825,0.07988,780.09647,0.04359
780.13669,0.01482,780.96681,0.09025,780.13669,0.01709
780.1769,0.01515,780.97536,0.10609,780.1769,0.02765
780.21712,0.01508,780.98392,0.12734,780.21712,0.00191
780.25734,0.01486,780.99248,0.15761,780.25734,0.04819
780.29755,0.01423,781.00103,0.1951,780.29755,0.04465
780.33777,0.01369,781.00959,0.24126,780.33777,0.04694
780.37798,0.01305,781.01814,0.29273,780.37798,0.03852
780.4182,0.01233,781.0267,0.34641,780.4182,0.00476
780.45841,0.01204,781.03525,0.40243,780.45841,3.58E-04
780.49862,0.01175,781.04381,0.45331,780.49862,-0.00695
780.53884,0.01174,781.05236,0.5005,780.53884,0.0282
780.57905,0.0118,781.06092,0.54588,780.57905,0.02333
780.61926,0.01173,781.06947,0.5867,780.61926,0.03234
780.65947,0.0119,781.07802,0.62275,780.65947,0.02495
780.69969,0.01241,781.08658,0.65343,780.69969,0.03238
780.7399,0.01303,781.09513,0.68921,780.7399,0.0431
780.78011,0.01479,781.10368,0.73593,780.78011,0.04112
780.82032,0.01663,781.11223,0.78576,780.82032,0.03377
780.86053,0.02305,781.12078,0.84518,780.86053,0.04023
780.90074,0.03729,781.12934,0.9056,780.90074,0.03715
780.94095,0.05588,781.13789,0.95664,780.94095,0.03072
780.98116,0.06583,781.14644,0.98564,780.98116,0.02188
781.02136,0.05805,781.15499,0.9946,781.02136,0.03863
781.06157,0.03976,781.16354,1,781.06157,0.01752
781.10178,0.02448,781.17209,0.98205,781.10178,0.03668
781.14199,0.01714,781.18064,0.94799,781.14199,0.01686
781.18219,0.01491,781.18919,0.89306,781.18219,0.02653
781.2224,0.01446,781.19774,0.80976,781.2224,0.03844
781.26261,0.01521,781.20629,0.69757,781.26261,0.02264
781.30281,0.01513,781.21484,0.58428,781.30281,0.0503
781.34302,0.01561,781.22338,0.46944,781.34302,0.01988
781.38322,0.01619,781.23193,0.37043,781.38322,0.03062
781.42343,0.01703,781.24048,0.28965,781.42343,0.05265
781.46363,0.01772,781.24903,0.22898,781.46363,0.02597
781.50383,0.01832,781.25757,0.18308,781.50383,0.003
781.54404,0.01943,781.26612,0.14836,781.54404,0.02334
781.58424,0.02056,781.27467,0.12518,781.58424,0.00134
781.62444,0.02113,781.28321,0.10762,781.62444,0.02751
781.66464,0.02105,781.29176,0.09533,781.66464,0.01519
781.70485,0.02076,781.3003,0.08672,781.70485,0.00457
781.74505,0.01996,781.30885,0.07836,781.74505,0.03897
781.78525,0.01879,781.31739,0.07317,781.78525,0.02524
781.82545,0.01825,781.32594,0.0671,781.82545,0.04422
781.86565,0.01746,781.33448,0.06361,781.86565,0.0338
781.90585,0.01687,781.34303,0.05924,781.90585,0.04081
781.94605,0.01654,781.35157,0.05479,781.94605,0.03338
781.98625,0.01627,781.36011,0.0502,781.98625,0.04299
